IDs         length   Exptl.  resolution  R-factor FreeRvalue
4EMTA       188      XRAY        1.500    0.19    0.21
3MABA        93      XRAY        1.420    0.17    0.21
4K12B        84      XRAY        1.080    0.15    0.17
5O1LA       407      XRAY        1.480    0.17    0.19
4LX3A       108      XRAY        1.500    0.17    0.19
5KLEA        97      XRAY        1.500    0.16    0.18
3KYZA       125      XRAY        1.500    0.15    0.18
3T47A        81      XRAY        1.300    0.16    0.19
2XOLA       176      XRAY        1.350    0.15    0.18
4G7XA       105      XRAY        1.440    0.21    0.22
3ZSJA       138      XRAY        0.860    0.13    0.14
1W0NA       131      XRAY        0.800    0.13    0.14
3L1NA       194      XRAY        1.300    0.18    0.20
5M1PA       191      XRAY        1.100    0.22    0.23
5IT3A        85      XRAY        1.400    0.16    0.19
3PLWA       186      XRAY        1.400    0.16    0.17
3BO6A       220      XRAY        1.400    0.16    0.19
4IC4A       397      XRAY        1.500    0.22    0.23
5MAOA        71      XRAY        1.350    0.24    0.25
3BHWA       209      XRAY        1.500    0.24    0.28
1VBWA        68      XRAY        0.930    0.11    0.14
3T92A       121      XRAY        1.500    0.18    0.23
5B1AK        56      XRAY        1.500    0.15    0.17
4Z3GA       198      XRAY        1.450    0.17    0.19
5O15A       311      XRAY        1.170    0.14    0.16
2ODKA        89      XRAY        1.400    0.14    0.15
2B0AA       186      XRAY        1.450    0.19    0.22
5L0RB        42      XRAY        1.500    0.15    0.17
2CVIA        83      XRAY        1.500    0.20    0.23
2CIOB       121      XRAY        1.500    0.18    0.23
3UB6A       181      XRAY        1.380    0.12    0.15
4PJ2A       135      XRAY        1.240    0.15    0.17
3FKEA       129      XRAY        1.400    0.20    0.24
5A0YB       443      XRAY        1.100    0.11    0.13
1MJ5A       302      XRAY        0.950    0.11    0.14
3ZNVA       275      XRAY        1.300    0.13    0.15
3WA2X       621      XRAY        1.080    0.13    0.15
2BZVA       181      XRAY        1.150    0.12    0.13
2PYQA       114      XRAY        1.500    0.18    0.20
2P4FA       299      XRAY        1.400    0.14    0.19
3LYDA       161      XRAY        1.450    0.17    0.19
5YJ6A       655      XRAY        1.430    0.15    0.18
5FAFA       119      XRAY        1.050    0.13    0.17
2I53A       258      XRAY        1.500    0.18    0.22
2Y5PA        74      XRAY        1.300    0.16    0.20
1ZHVA       134      XRAY        1.500    0.24    0.25
5B1AD       147      XRAY        1.500    0.15    0.17
3HNYM       159      XRAY        1.070    0.20    0.20
1EAQA       140      XRAY        1.250    0.15    0.17
2O1QA       145      XRAY        1.500    0.18    0.21
3EA6A       219      XRAY        0.920    0.10    0.12
3S2RA        83      XRAY        1.140    0.19    0.20
4AK2A       288      XRAY        1.350    0.16    0.19
2XOMA       152      XRAY        0.950    0.10    0.12
3AKSA       190      XRAY        0.970    0.19    0.19
3TEUA        98      XRAY        1.000    0.11    0.14
1FO8A       343      XRAY        1.400    0.17    0.18
3M7AA       140      XRAY        1.220    0.12    0.15
3C8LA       122      XRAY        1.220    0.16    0.18
2DKOB       103      XRAY        1.060    0.14    0.17
5O95A       245      XRAY        1.490    0.18    0.21
3V9OA       143      XRAY        1.450    0.20    0.20
1GK9B       557      XRAY        1.300    0.15    0.17
5GJIA       108      XRAY        0.900    0.13    0.14
3FSSA       237      XRAY        1.430    0.18    0.21
5V1YA       115      XRAY        1.420    0.14    0.17
3I94A       248      XRAY        1.040    0.12    0.15
2OPCA       127      XRAY        1.430    0.20    0.23
2WLVA       144      XRAY        1.250    0.15    0.18
5DM2A       265      XRAY        1.500    0.21    0.24
2RKLA        53      XRAY        1.500    0.22    0.25
4GEIA       150      XRAY        1.500    0.18    0.20
4QLPB       199      XRAY        1.100    0.13    0.14
5AL6A        49      XRAY        0.800    0.11    0.12
4CNNA       252      XRAY        1.000    0.13    0.15
5FU5A       123      XRAY        1.500    0.19    0.22
2WTPA       131      XRAY        1.500    0.16    0.19
5LY8A       247      XRAY        1.280    0.18    0.20
2C60A       111      XRAY        1.250    0.17    0.18
1JNIA       123      XRAY        1.250    0.16    0.21
5HB7A       125      XRAY        0.820    0.12    0.13
5WK0A       163      XRAY        1.330    0.15    0.19
4Y9WA       334      XRAY        0.830    0.12    0.12
3H9CA       547      XRAY        1.400    0.17    0.19
4F01A       241      XRAY        1.400    0.16    0.21
3NBCA       148      XRAY        1.010    0.16    0.17
4I4OA       146      XRAY        1.120    0.15    0.16
5JICA       273      XRAY        1.400    0.14    0.17
1M15A       357      XRAY        1.200    0.12    0.14
3VZ9D        73      XRAY        1.030    0.19    0.21
4P3HA       193      XRAY        1.450    0.17    0.20
